symptom_id,symptom_name,medical_term,category,body_system,severity_weight,urgency_level,common_aliases,description
SYM_00503,Intermittent Hypoperfusion (Peripheral Capillaries),Intermittent Hypoperfusion of Peripheral Capillaries,Cardiovascular & Circulatory,Cardiovascular,3,Low,"intermittent hypoperfusion (peripheral capillaries); hypoperfusion; intermittent hypoperfusion",Clinical symptom presentation manifesting as intermittent hypoperfusion localized in the peripheral capillaries.
SYM_00504,Intermittent Capillary Sluggishness (Peripheral Capillaries),Intermittent Capillary Sluggishness of Peripheral Capillaries,Cardiovascular & Circulatory,Cardiovascular,1,Low,"intermittent capillary sluggishness (peripheral capillaries); capillary sluggishness; intermittent capillary sluggishness",Clinical symptom presentation manifesting as intermittent capillary sluggishness localized in the peripheral capillaries.
SYM_00505,Nocturnal Chest Pressure (Myocardium),Nocturnal Chest Pressure of Myocardium,Cardiovascular & Circulatory,Cardiovascular,8,Critical,"nocturnal chest pressure (myocardium); chest pressure; nocturnal chest pressure",Clinical symptom presentation manifesting as nocturnal chest pressure localized in the myocardium.
SYM_00506,Nocturnal Palpitations (Myocardium),Nocturnal Palpitations of Myocardium,Cardiovascular & Circulatory,Cardiovascular,6,High,"nocturnal palpitations (myocardium); palpitations; nocturnal palpitations",Clinical symptom presentation manifesting as nocturnal palpitations localized in the myocardium.
SYM_00507,Nocturnal Flushing (Myocardium),Nocturnal Flushing of Myocardium,Cardiovascular & Circulatory,Cardiovascular,4,Moderate,"nocturnal flushing (myocardium); flushing; nocturnal flushing",Clinical symptom presentation manifesting as nocturnal flushing localized in the myocardium.
SYM_00508,Nocturnal Pulse Irregularity (Myocardium),Nocturnal Pulse Irregularity of Myocardium,Cardiovascular & Circulatory,Cardiovascular,2,Low,"nocturnal pulse irregularity (myocardium); pulse irregularity; nocturnal pulse irregularity",Clinical symptom presentation manifesting as nocturnal pulse irregularity localized in the myocardium.
SYM_00509,Nocturnal Syncope (Myocardium),Nocturnal Syncope of Myocardium,Cardiovascular & Circulatory,Cardiovascular,9,Critical,"nocturnal syncope (myocardium); syncope; nocturnal syncope",Clinical symptom presentation manifesting as nocturnal syncope localized in the myocardium.
SYM_00510,Nocturnal Murmur Sensation (Myocardium),Nocturnal Murmur Sensation of Myocardium,Cardiovascular & Circulatory,Cardiovascular,7,High,"nocturnal murmur sensation (myocardium); murmur sensation; nocturnal murmur sensation",Clinical symptom presentation manifesting as nocturnal murmur sensation localized in the myocardium.
SYM_00511,Nocturnal Swelling (Myocardium),Nocturnal Swelling of Myocardium,Cardiovascular & Circulatory,Cardiovascular,5,Moderate,"nocturnal swelling (myocardium); swelling; nocturnal swelling",Clinical symptom presentation manifesting as nocturnal swelling localized in the myocardium.
SYM_00512,Severe Constipation (Rectum),Severe Constipation of Rectum,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"severe constipation (rectum); constipation; severe constipation",Clinical symptom presentation manifesting as severe constipation localized in the rectum.
SYM_00513,Severe Flatulence (Rectum),Severe Flatulence of Rectum,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"severe flatulence (rectum); flatulence; severe flatulence",Clinical symptom presentation manifesting as severe flatulence localized in the rectum.
SYM_00514,Severe Indigestion (Rectum),Severe Indigestion of Rectum,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"severe indigestion (rectum); indigestion; severe indigestion",Clinical symptom presentation manifesting as severe indigestion localized in the rectum.
SYM_00515,Severe Tenesmus (Rectum),Severe Tenesmus of Rectum,Gastrointestinal & Digestive,Gastrointestinal,6,High,"severe tenesmus (rectum); tenesmus; severe tenesmus",Clinical symptom presentation manifesting as severe tenesmus localized in the rectum.
SYM_00516,Severe Bowel Urgency (Rectum),Severe Bowel Urgency of Rectum,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"severe bowel urgency (rectum); bowel urgency; severe bowel urgency",Clinical symptom presentation manifesting as severe bowel urgency localized in the rectum.
SYM_00517,Severe Jaundice Hue (Rectum),Severe Jaundice Hue of Rectum,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"severe jaundice hue (rectum); jaundice hue; severe jaundice hue",Clinical symptom presentation manifesting as severe jaundice hue localized in the rectum.
SYM_00518,Severe Fullness (Rectum),Severe Fullness of Rectum,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"severe fullness (rectum); fullness; severe fullness",Clinical symptom presentation manifesting as severe fullness localized in the rectum.
SYM_00519,Severe Acid Reflux (Hepatic Lobes),Severe Acid Reflux of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,7,High,"severe acid reflux (hepatic lobes); acid reflux; severe acid reflux",Clinical symptom presentation manifesting as severe acid reflux localized in the hepatic lobes.
SYM_00520,Severe Epigastric Pain (Hepatic Lobes),Severe Epigastric Pain of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,5,Moderate,"severe epigastric pain (hepatic lobes); epigastric pain; severe epigastric pain",Clinical symptom presentation manifesting as severe epigastric pain localized in the hepatic lobes.
SYM_00521,Severe Cramping (Hepatic Lobes),Severe Cramping of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"severe cramping (hepatic lobes); cramping; severe cramping",Clinical symptom presentation manifesting as severe cramping localized in the hepatic lobes.
SYM_00522,Severe Bloating (Hepatic Lobes),Severe Bloating of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"severe bloating (hepatic lobes); bloating; severe bloating",Clinical symptom presentation manifesting as severe bloating localized in the hepatic lobes.
SYM_00523,Severe Nausea (Hepatic Lobes),Severe Nausea of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"severe nausea (hepatic lobes); nausea; severe nausea",Clinical symptom presentation manifesting as severe nausea localized in the hepatic lobes.
SYM_00524,Severe Emesis (Hepatic Lobes),Severe Emesis of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,6,High,"severe emesis (hepatic lobes); emesis; severe emesis",Clinical symptom presentation manifesting as severe emesis localized in the hepatic lobes.
SYM_00525,Severe Diarrhea (Hepatic Lobes),Severe Diarrhea of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"severe diarrhea (hepatic lobes); diarrhea; severe diarrhea",Clinical symptom presentation manifesting as severe diarrhea localized in the hepatic lobes.
SYM_00526,Severe Constipation (Hepatic Lobes),Severe Constipation of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"severe constipation (hepatic lobes); constipation; severe constipation",Clinical symptom presentation manifesting as severe constipation localized in the hepatic lobes.
SYM_00527,Severe Flatulence (Hepatic Lobes),Severe Flatulence of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"severe flatulence (hepatic lobes); flatulence; severe flatulence",Clinical symptom presentation manifesting as severe flatulence localized in the hepatic lobes.
SYM_00528,Severe Indigestion (Hepatic Lobes),Severe Indigestion of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,7,High,"severe indigestion (hepatic lobes); indigestion; severe indigestion",Clinical symptom presentation manifesting as severe indigestion localized in the hepatic lobes.
SYM_00529,Severe Tenesmus (Hepatic Lobes),Severe Tenesmus of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,5,Moderate,"severe tenesmus (hepatic lobes); tenesmus; severe tenesmus",Clinical symptom presentation manifesting as severe tenesmus localized in the hepatic lobes.
SYM_00530,Severe Bowel Urgency (Hepatic Lobes),Severe Bowel Urgency of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"severe bowel urgency (hepatic lobes); bowel urgency; severe bowel urgency",Clinical symptom presentation manifesting as severe bowel urgency localized in the hepatic lobes.
SYM_00531,Severe Jaundice Hue (Hepatic Lobes),Severe Jaundice Hue of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"severe jaundice hue (hepatic lobes); jaundice hue; severe jaundice hue",Clinical symptom presentation manifesting as severe jaundice hue localized in the hepatic lobes.
SYM_00532,Severe Fullness (Hepatic Lobes),Severe Fullness of Hepatic Lobes,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"severe fullness (hepatic lobes); fullness; severe fullness",Clinical symptom presentation manifesting as severe fullness localized in the hepatic lobes.
SYM_00533,Severe Acid Reflux (Gallbladder),Severe Acid Reflux of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,6,High,"severe acid reflux (gallbladder); acid reflux; severe acid reflux",Clinical symptom presentation manifesting as severe acid reflux localized in the gallbladder.
SYM_00534,Severe Epigastric Pain (Gallbladder),Severe Epigastric Pain of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"severe epigastric pain (gallbladder); epigastric pain; severe epigastric pain",Clinical symptom presentation manifesting as severe epigastric pain localized in the gallbladder.
SYM_00535,Severe Cramping (Gallbladder),Severe Cramping of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"severe cramping (gallbladder); cramping; severe cramping",Clinical symptom presentation manifesting as severe cramping localized in the gallbladder.
SYM_00536,Severe Bloating (Gallbladder),Severe Bloating of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"severe bloating (gallbladder); bloating; severe bloating",Clinical symptom presentation manifesting as severe bloating localized in the gallbladder.
SYM_00537,Severe Nausea (Gallbladder),Severe Nausea of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,7,High,"severe nausea (gallbladder); nausea; severe nausea",Clinical symptom presentation manifesting as severe nausea localized in the gallbladder.
SYM_00538,Severe Emesis (Gallbladder),Severe Emesis of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,5,Moderate,"severe emesis (gallbladder); emesis; severe emesis",Clinical symptom presentation manifesting as severe emesis localized in the gallbladder.
SYM_00539,Severe Diarrhea (Gallbladder),Severe Diarrhea of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"severe diarrhea (gallbladder); diarrhea; severe diarrhea",Clinical symptom presentation manifesting as severe diarrhea localized in the gallbladder.
SYM_00540,Severe Constipation (Gallbladder),Severe Constipation of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"severe constipation (gallbladder); constipation; severe constipation",Clinical symptom presentation manifesting as severe constipation localized in the gallbladder.
SYM_00541,Severe Flatulence (Gallbladder),Severe Flatulence of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"severe flatulence (gallbladder); flatulence; severe flatulence",Clinical symptom presentation manifesting as severe flatulence localized in the gallbladder.
SYM_00542,Severe Indigestion (Gallbladder),Severe Indigestion of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,6,High,"severe indigestion (gallbladder); indigestion; severe indigestion",Clinical symptom presentation manifesting as severe indigestion localized in the gallbladder.
SYM_00543,Severe Tenesmus (Gallbladder),Severe Tenesmus of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"severe tenesmus (gallbladder); tenesmus; severe tenesmus",Clinical symptom presentation manifesting as severe tenesmus localized in the gallbladder.
SYM_00544,Severe Bowel Urgency (Gallbladder),Severe Bowel Urgency of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"severe bowel urgency (gallbladder); bowel urgency; severe bowel urgency",Clinical symptom presentation manifesting as severe bowel urgency localized in the gallbladder.
SYM_00545,Severe Jaundice Hue (Gallbladder),Severe Jaundice Hue of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"severe jaundice hue (gallbladder); jaundice hue; severe jaundice hue",Clinical symptom presentation manifesting as severe jaundice hue localized in the gallbladder.
SYM_00546,Severe Fullness (Gallbladder),Severe Fullness of Gallbladder,Gastrointestinal & Digestive,Gastrointestinal,7,High,"severe fullness (gallbladder); fullness; severe fullness",Clinical symptom presentation manifesting as severe fullness localized in the gallbladder.
SYM_00547,Severe Acid Reflux (Pancreas),Severe Acid Reflux of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,5,Moderate,"severe acid reflux (pancreas); acid reflux; severe acid reflux",Clinical symptom presentation manifesting as severe acid reflux localized in the pancreas.
SYM_00548,Severe Epigastric Pain (Pancreas),Severe Epigastric Pain of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"severe epigastric pain (pancreas); epigastric pain; severe epigastric pain",Clinical symptom presentation manifesting as severe epigastric pain localized in the pancreas.
SYM_00549,Severe Cramping (Pancreas),Severe Cramping of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"severe cramping (pancreas); cramping; severe cramping",Clinical symptom presentation manifesting as severe cramping localized in the pancreas.
SYM_00550,Severe Bloating (Pancreas),Severe Bloating of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"severe bloating (pancreas); bloating; severe bloating",Clinical symptom presentation manifesting as severe bloating localized in the pancreas.
SYM_00551,Severe Nausea (Pancreas),Severe Nausea of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,6,High,"severe nausea (pancreas); nausea; severe nausea",Clinical symptom presentation manifesting as severe nausea localized in the pancreas.
SYM_00552,Severe Emesis (Pancreas),Severe Emesis of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"severe emesis (pancreas); emesis; severe emesis",Clinical symptom presentation manifesting as severe emesis localized in the pancreas.
SYM_00553,Severe Diarrhea (Pancreas),Severe Diarrhea of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"severe diarrhea (pancreas); diarrhea; severe diarrhea",Clinical symptom presentation manifesting as severe diarrhea localized in the pancreas.
SYM_00554,Severe Constipation (Pancreas),Severe Constipation of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"severe constipation (pancreas); constipation; severe constipation",Clinical symptom presentation manifesting as severe constipation localized in the pancreas.
SYM_00555,Severe Flatulence (Pancreas),Severe Flatulence of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,7,High,"severe flatulence (pancreas); flatulence; severe flatulence",Clinical symptom presentation manifesting as severe flatulence localized in the pancreas.
SYM_00556,Severe Indigestion (Pancreas),Severe Indigestion of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,5,Moderate,"severe indigestion (pancreas); indigestion; severe indigestion",Clinical symptom presentation manifesting as severe indigestion localized in the pancreas.
SYM_00557,Severe Tenesmus (Pancreas),Severe Tenesmus of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"severe tenesmus (pancreas); tenesmus; severe tenesmus",Clinical symptom presentation manifesting as severe tenesmus localized in the pancreas.
SYM_00558,Severe Bowel Urgency (Pancreas),Severe Bowel Urgency of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"severe bowel urgency (pancreas); bowel urgency; severe bowel urgency",Clinical symptom presentation manifesting as severe bowel urgency localized in the pancreas.
SYM_00559,Severe Jaundice Hue (Pancreas),Severe Jaundice Hue of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"severe jaundice hue (pancreas); jaundice hue; severe jaundice hue",Clinical symptom presentation manifesting as severe jaundice hue localized in the pancreas.
SYM_00560,Severe Fullness (Pancreas),Severe Fullness of Pancreas,Gastrointestinal & Digestive,Gastrointestinal,6,High,"severe fullness (pancreas); fullness; severe fullness",Clinical symptom presentation manifesting as severe fullness localized in the pancreas.
SYM_00561,Recurrent Acid Reflux (Gastric Antrum),Recurrent Acid Reflux of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"recurrent acid reflux (gastric antrum); acid reflux; recurrent acid reflux",Clinical symptom presentation manifesting as recurrent acid reflux localized in the gastric antrum.
SYM_00562,Recurrent Epigastric Pain (Gastric Antrum),Recurrent Epigastric Pain of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"recurrent epigastric pain (gastric antrum); epigastric pain; recurrent epigastric pain",Clinical symptom presentation manifesting as recurrent epigastric pain localized in the gastric antrum.
SYM_00563,Recurrent Cramping (Gastric Antrum),Recurrent Cramping of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"recurrent cramping (gastric antrum); cramping; recurrent cramping",Clinical symptom presentation manifesting as recurrent cramping localized in the gastric antrum.
SYM_00564,Recurrent Bloating (Gastric Antrum),Recurrent Bloating of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,7,High,"recurrent bloating (gastric antrum); bloating; recurrent bloating",Clinical symptom presentation manifesting as recurrent bloating localized in the gastric antrum.
SYM_00565,Recurrent Nausea (Gastric Antrum),Recurrent Nausea of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,5,Moderate,"recurrent nausea (gastric antrum); nausea; recurrent nausea",Clinical symptom presentation manifesting as recurrent nausea localized in the gastric antrum.
SYM_00566,Recurrent Emesis (Gastric Antrum),Recurrent Emesis of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"recurrent emesis (gastric antrum); emesis; recurrent emesis",Clinical symptom presentation manifesting as recurrent emesis localized in the gastric antrum.
SYM_00567,Recurrent Diarrhea (Gastric Antrum),Recurrent Diarrhea of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"recurrent diarrhea (gastric antrum); diarrhea; recurrent diarrhea",Clinical symptom presentation manifesting as recurrent diarrhea localized in the gastric antrum.
SYM_00568,Recurrent Constipation (Gastric Antrum),Recurrent Constipation of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"recurrent constipation (gastric antrum); constipation; recurrent constipation",Clinical symptom presentation manifesting as recurrent constipation localized in the gastric antrum.
SYM_00569,Recurrent Flatulence (Gastric Antrum),Recurrent Flatulence of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,6,High,"recurrent flatulence (gastric antrum); flatulence; recurrent flatulence",Clinical symptom presentation manifesting as recurrent flatulence localized in the gastric antrum.
SYM_00570,Recurrent Indigestion (Gastric Antrum),Recurrent Indigestion of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"recurrent indigestion (gastric antrum); indigestion; recurrent indigestion",Clinical symptom presentation manifesting as recurrent indigestion localized in the gastric antrum.
SYM_00571,Recurrent Tenesmus (Gastric Antrum),Recurrent Tenesmus of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"recurrent tenesmus (gastric antrum); tenesmus; recurrent tenesmus",Clinical symptom presentation manifesting as recurrent tenesmus localized in the gastric antrum.
SYM_00572,Recurrent Bowel Urgency (Gastric Antrum),Recurrent Bowel Urgency of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"recurrent bowel urgency (gastric antrum); bowel urgency; recurrent bowel urgency",Clinical symptom presentation manifesting as recurrent bowel urgency localized in the gastric antrum.
SYM_00573,Recurrent Jaundice Hue (Gastric Antrum),Recurrent Jaundice Hue of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,7,High,"recurrent jaundice hue (gastric antrum); jaundice hue; recurrent jaundice hue",Clinical symptom presentation manifesting as recurrent jaundice hue localized in the gastric antrum.
SYM_00574,Recurrent Fullness (Gastric Antrum),Recurrent Fullness of Gastric Antrum,Gastrointestinal & Digestive,Gastrointestinal,5,Moderate,"recurrent fullness (gastric antrum); fullness; recurrent fullness",Clinical symptom presentation manifesting as recurrent fullness localized in the gastric antrum.
SYM_00575,Recurrent Acid Reflux (Duodenum),Recurrent Acid Reflux of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"recurrent acid reflux (duodenum); acid reflux; recurrent acid reflux",Clinical symptom presentation manifesting as recurrent acid reflux localized in the duodenum.
SYM_00576,Recurrent Epigastric Pain (Duodenum),Recurrent Epigastric Pain of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"recurrent epigastric pain (duodenum); epigastric pain; recurrent epigastric pain",Clinical symptom presentation manifesting as recurrent epigastric pain localized in the duodenum.
SYM_00577,Recurrent Cramping (Duodenum),Recurrent Cramping of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"recurrent cramping (duodenum); cramping; recurrent cramping",Clinical symptom presentation manifesting as recurrent cramping localized in the duodenum.
SYM_00578,Recurrent Bloating (Duodenum),Recurrent Bloating of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,6,High,"recurrent bloating (duodenum); bloating; recurrent bloating",Clinical symptom presentation manifesting as recurrent bloating localized in the duodenum.
SYM_00579,Recurrent Nausea (Duodenum),Recurrent Nausea of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"recurrent nausea (duodenum); nausea; recurrent nausea",Clinical symptom presentation manifesting as recurrent nausea localized in the duodenum.
SYM_00580,Recurrent Emesis (Duodenum),Recurrent Emesis of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"recurrent emesis (duodenum); emesis; recurrent emesis",Clinical symptom presentation manifesting as recurrent emesis localized in the duodenum.
SYM_00581,Recurrent Diarrhea (Duodenum),Recurrent Diarrhea of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"recurrent diarrhea (duodenum); diarrhea; recurrent diarrhea",Clinical symptom presentation manifesting as recurrent diarrhea localized in the duodenum.
SYM_00582,Recurrent Constipation (Duodenum),Recurrent Constipation of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,7,High,"recurrent constipation (duodenum); constipation; recurrent constipation",Clinical symptom presentation manifesting as recurrent constipation localized in the duodenum.
SYM_00583,Recurrent Flatulence (Duodenum),Recurrent Flatulence of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,5,Moderate,"recurrent flatulence (duodenum); flatulence; recurrent flatulence",Clinical symptom presentation manifesting as recurrent flatulence localized in the duodenum.
SYM_00584,Recurrent Indigestion (Duodenum),Recurrent Indigestion of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"recurrent indigestion (duodenum); indigestion; recurrent indigestion",Clinical symptom presentation manifesting as recurrent indigestion localized in the duodenum.
SYM_00585,Recurrent Tenesmus (Duodenum),Recurrent Tenesmus of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"recurrent tenesmus (duodenum); tenesmus; recurrent tenesmus",Clinical symptom presentation manifesting as recurrent tenesmus localized in the duodenum.
SYM_00586,Recurrent Bowel Urgency (Duodenum),Recurrent Bowel Urgency of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"recurrent bowel urgency (duodenum); bowel urgency; recurrent bowel urgency",Clinical symptom presentation manifesting as recurrent bowel urgency localized in the duodenum.
SYM_00587,Recurrent Jaundice Hue (Duodenum),Recurrent Jaundice Hue of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,6,High,"recurrent jaundice hue (duodenum); jaundice hue; recurrent jaundice hue",Clinical symptom presentation manifesting as recurrent jaundice hue localized in the duodenum.
SYM_00588,Recurrent Fullness (Duodenum),Recurrent Fullness of Duodenum,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"recurrent fullness (duodenum); fullness; recurrent fullness",Clinical symptom presentation manifesting as recurrent fullness localized in the duodenum.
SYM_00589,Recurrent Acid Reflux (Ileum),Recurrent Acid Reflux of Ileum,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"recurrent acid reflux (ileum); acid reflux; recurrent acid reflux",Clinical symptom presentation manifesting as recurrent acid reflux localized in the ileum.
SYM_00590,Recurrent Epigastric Pain (Ileum),Recurrent Epigastric Pain of Ileum,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"recurrent epigastric pain (ileum); epigastric pain; recurrent epigastric pain",Clinical symptom presentation manifesting as recurrent epigastric pain localized in the ileum.
SYM_00591,Recurrent Cramping (Ileum),Recurrent Cramping of Ileum,Gastrointestinal & Digestive,Gastrointestinal,7,High,"recurrent cramping (ileum); cramping; recurrent cramping",Clinical symptom presentation manifesting as recurrent cramping localized in the ileum.
SYM_00592,Recurrent Bloating (Ileum),Recurrent Bloating of Ileum,Gastrointestinal & Digestive,Gastrointestinal,5,Moderate,"recurrent bloating (ileum); bloating; recurrent bloating",Clinical symptom presentation manifesting as recurrent bloating localized in the ileum.
SYM_00593,Recurrent Nausea (Ileum),Recurrent Nausea of Ileum,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"recurrent nausea (ileum); nausea; recurrent nausea",Clinical symptom presentation manifesting as recurrent nausea localized in the ileum.
SYM_00594,Recurrent Emesis (Ileum),Recurrent Emesis of Ileum,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"recurrent emesis (ileum); emesis; recurrent emesis",Clinical symptom presentation manifesting as recurrent emesis localized in the ileum.
SYM_00595,Recurrent Diarrhea (Ileum),Recurrent Diarrhea of Ileum,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"recurrent diarrhea (ileum); diarrhea; recurrent diarrhea",Clinical symptom presentation manifesting as recurrent diarrhea localized in the ileum.
SYM_00596,Recurrent Constipation (Ileum),Recurrent Constipation of Ileum,Gastrointestinal & Digestive,Gastrointestinal,6,High,"recurrent constipation (ileum); constipation; recurrent constipation",Clinical symptom presentation manifesting as recurrent constipation localized in the ileum.
SYM_00597,Recurrent Flatulence (Ileum),Recurrent Flatulence of Ileum,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"recurrent flatulence (ileum); flatulence; recurrent flatulence",Clinical symptom presentation manifesting as recurrent flatulence localized in the ileum.
SYM_00598,Recurrent Indigestion (Ileum),Recurrent Indigestion of Ileum,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"recurrent indigestion (ileum); indigestion; recurrent indigestion",Clinical symptom presentation manifesting as recurrent indigestion localized in the ileum.
SYM_00599,Recurrent Tenesmus (Ileum),Recurrent Tenesmus of Ileum,Gastrointestinal & Digestive,Gastrointestinal,9,Critical,"recurrent tenesmus (ileum); tenesmus; recurrent tenesmus",Clinical symptom presentation manifesting as recurrent tenesmus localized in the ileum.
SYM_00600,Recurrent Bowel Urgency (Ileum),Recurrent Bowel Urgency of Ileum,Gastrointestinal & Digestive,Gastrointestinal,7,High,"recurrent bowel urgency (ileum); bowel urgency; recurrent bowel urgency",Clinical symptom presentation manifesting as recurrent bowel urgency localized in the ileum.
SYM_00601,Recurrent Jaundice Hue (Ileum),Recurrent Jaundice Hue of Ileum,Gastrointestinal & Digestive,Gastrointestinal,5,Moderate,"recurrent jaundice hue (ileum); jaundice hue; recurrent jaundice hue",Clinical symptom presentation manifesting as recurrent jaundice hue localized in the ileum.
SYM_00602,Recurrent Fullness (Ileum),Recurrent Fullness of Ileum,Gastrointestinal & Digestive,Gastrointestinal,3,Low,"recurrent fullness (ileum); fullness; recurrent fullness",Clinical symptom presentation manifesting as recurrent fullness localized in the ileum.
SYM_00603,Recurrent Acid Reflux (Colon),Recurrent Acid Reflux of Colon,Gastrointestinal & Digestive,Gastrointestinal,1,Low,"recurrent acid reflux (colon); acid reflux; recurrent acid reflux",Clinical symptom presentation manifesting as recurrent acid reflux localized in the colon.
SYM_00604,Recurrent Epigastric Pain (Colon),Recurrent Epigastric Pain of Colon,Gastrointestinal & Digestive,Gastrointestinal,8,Critical,"recurrent epigastric pain (colon); epigastric pain; recurrent epigastric pain",Clinical symptom presentation manifesting as recurrent epigastric pain localized in the colon.
SYM_00605,Recurrent Cramping (Colon),Recurrent Cramping of Colon,Gastrointestinal & Digestive,Gastrointestinal,6,High,"recurrent cramping (colon); cramping; recurrent cramping",Clinical symptom presentation manifesting as recurrent cramping localized in the colon.
SYM_00606,Recurrent Bloating (Colon),Recurrent Bloating of Colon,Gastrointestinal & Digestive,Gastrointestinal,4,Moderate,"recurrent bloating (colon); bloating; recurrent bloating",Clinical symptom presentation manifesting as recurrent bloating localized in the colon.
SYM_00607,Recurrent Nausea (Colon),Recurrent Nausea of Colon,Gastrointestinal & Digestive,Gastrointestinal,2,Low,"recurrent nausea (colon); nausea; recurrent nausea",Clinical symptom presentation manifesting as recurrent nausea localized in the colon.
