disease_id,disease_name,icd10_code,category,risk_level,severity,prevalence_rate,common_symptoms,key_diagnostic_markers,prevention_guidelines,diet_recommendations,exercise_recommendations,urgent_warning_signs
DIS_00126,Meniere Disease,W46.0,Neurology & Neurosciences,Moderate,Moderate,"26 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Neurology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Meniere Disease.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00127,Vestibular Neuritis,X47.1,Neurology & Neurosciences,High,Severe,"29 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Neurology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Vestibular Neuritis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00128,Cervical Radiculopathy,Y48.2,Neurology & Neurosciences,Moderate,Moderate,"32 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Neurology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Cervical Radiculopathy.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00129,Carpal Tunnel Syndrome,Z49.3,Neurology & Neurosciences,Low,Mild,"35 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Neurology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Carpal Tunnel Syndrome.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00130,Diabetic Autonomic Neuropathy,A50.4,Neurology & Neurosciences,Critical,Severe,"38 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Neurology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Diabetic Autonomic Neuropathy.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00131,Complex Regional Pain Syndrome,B51.5,Neurology & Neurosciences,Low,Mild,"41 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Neurology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Complex Regional Pain Syndrome.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00132,Epilepsy (Temporal Lobe),C52.6,Neurology & Neurosciences,Moderate,Moderate,"44 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Neurology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Epilepsy (Temporal Lobe).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00133,Epilepsy (Juvenile Myoclonic),D53.7,Neurology & Neurosciences,High,Severe,"47 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Neurology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Epilepsy (Juvenile Myoclonic).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00134,Spinocerebellar Ataxia,E54.8,Neurology & Neurosciences,Moderate,Moderate,"5 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Neurology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Spinocerebellar Ataxia.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00135,Restless Legs Syndrome,F55.0,Neurology & Neurosciences,Low,Mild,"8 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Neurology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Restless Legs Syndrome.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00136,Hashimoto Autoimmune Thyroiditis,G56.1,Endocrinology & Metabolic Disorders,Critical,Severe,"11 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Hashimoto Autoimmune Thyroiditis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00137,Graves Disease (Hyperthyroidism),H57.2,Endocrinology & Metabolic Disorders,Low,Mild,"14 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Graves Disease (Hyperthyroidism).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00138,Subacute De Quervain Thyroiditis,I58.3,Endocrinology & Metabolic Disorders,Moderate,Moderate,"17 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Subacute De Quervain Thyroiditis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00139,Thyroid Nodule (Toxic Adenoma),J59.4,Endocrinology & Metabolic Disorders,High,Severe,"20 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Thyroid Nodule (Toxic Adenoma).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00140,Primary Adrenal Insufficiency (Addison),K60.5,Endocrinology & Metabolic Disorders,Moderate,Moderate,"23 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Primary Adrenal Insufficiency (Addison).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00141,Cushing Syndrome (Hypercortisolemia),L61.6,Endocrinology & Metabolic Disorders,Low,Mild,"26 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Cushing Syndrome (Hypercortisolemia).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00142,Primary Hyperaldosteronism (Conn),M62.7,Endocrinology & Metabolic Disorders,Critical,Severe,"29 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Primary Hyperaldosteronism (Conn).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00143,Pheochromocytoma (Adrenal),N63.8,Endocrinology & Metabolic Disorders,Low,Mild,"32 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Pheochromocytoma (Adrenal).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00144,Primary Hyperparathyroidism,O64.0,Endocrinology & Metabolic Disorders,Moderate,Moderate,"35 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Primary Hyperparathyroidism.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00145,Hypoparathyroidism,P65.1,Endocrinology & Metabolic Disorders,High,Severe,"38 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Hypoparathyroidism.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00146,Pituitary Prolactinoma,Q66.2,Endocrinology & Metabolic Disorders,Moderate,Moderate,"41 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Pituitary Prolactinoma.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00147,Acromegaly (Growth Hormone Excess),R67.3,Endocrinology & Metabolic Disorders,Low,Mild,"44 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Acromegaly (Growth Hormone Excess).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00148,Diabetes Insipidus (Central),S68.4,Endocrinology & Metabolic Disorders,Critical,Severe,"47 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Diabetes Insipidus (Central).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00149,Diabetes Insipidus (Nephrogenic),T69.5,Endocrinology & Metabolic Disorders,Low,Mild,"5 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Diabetes Insipidus (Nephrogenic).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00150,Polycystic Ovary Syndrome (PCOS),U70.6,Endocrinology & Metabolic Disorders,Moderate,Moderate,"8 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Polycystic Ovary Syndrome (PCOS).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00151,Hypogonadism (Male),V71.7,Endocrinology & Metabolic Disorders,High,Severe,"11 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Hypogonadism (Male).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00152,Metabolic Syndrome,W72.8,Endocrinology & Metabolic Disorders,Moderate,Moderate,"14 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Metabolic Syndrome.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00153,Severe Hypertriglyceridemia,X73.0,Endocrinology & Metabolic Disorders,Low,Mild,"17 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Severe Hypertriglyceridemia.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00154,Familial Hypercholesterolemia,Y74.1,Endocrinology & Metabolic Disorders,Critical,Severe,"20 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Familial Hypercholesterolemia.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00155,Gouty Arthritis (Hyperuricemia),Z75.2,Endocrinology & Metabolic Disorders,Low,Mild,"23 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Gouty Arthritis (Hyperuricemia).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00156,Pseudogout (CPPD),A76.3,Endocrinology & Metabolic Disorders,Moderate,Moderate,"26 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Pseudogout (CPPD).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00157,Osteopenia & Osteoporosis,B77.4,Endocrinology & Metabolic Disorders,High,Severe,"29 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Osteopenia & Osteoporosis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00158,Vitamin D Deficiency Osteomalacia,C78.5,Endocrinology & Metabolic Disorders,Moderate,Moderate,"32 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Vitamin D Deficiency Osteomalacia.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00159,Adrenal Fatigue Axis Syndrome,D79.6,Endocrinology & Metabolic Disorders,Low,Mild,"35 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Adrenal Fatigue Axis Syndrome.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00160,Autoimmune Polyglandular Syndrome Type 1,E80.7,Endocrinology & Metabolic Disorders,Critical,Severe,"38 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Autoimmune Polyglandular Syndrome Type 1.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00161,Autoimmune Polyglandular Syndrome Type 2,F81.8,Endocrinology & Metabolic Disorders,Low,Mild,"41 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Autoimmune Polyglandular Syndrome Type 2.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00162,Multiple Endocrine Neoplasia Type 1,G82.0,Endocrinology & Metabolic Disorders,Moderate,Moderate,"44 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Multiple Endocrine Neoplasia Type 1.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00163,Multiple Endocrine Neoplasia Type 2,H83.1,Endocrinology & Metabolic Disorders,High,Severe,"47 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Multiple Endocrine Neoplasia Type 2.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00164,Hypothalamic Amenorrhea,I84.2,Endocrinology & Metabolic Disorders,Moderate,Moderate,"5 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Hypothalamic Amenorrhea.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00165,Late-Onset Congenital Adrenal Hyperplasia,J85.3,Endocrinology & Metabolic Disorders,Low,Mild,"8 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Endocrinology, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Late-Onset Congenital Adrenal Hyperplasia.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00166,Influenza A (H1N1 / H3N2),K86.4,Infectious Diseases & Virology,Critical,Severe,"11 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Infectious Diseases, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Influenza A (H1N1 / H3N2).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00167,Influenza B,L87.5,Infectious Diseases & Virology,Low,Mild,"14 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Infectious Diseases, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Influenza B.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00168,Respiratory Syncytial Virus (RSV),M88.6,Infectious Diseases & Virology,Moderate,Moderate,"17 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Infectious Diseases, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Respiratory Syncytial Virus (RSV).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00169,Epstein-Barr Virus Mononucleosis,N89.7,Infectious Diseases & Virology,High,Severe,"20 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Infectious Diseases, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Epstein-Barr Virus Mononucleosis.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00170,Cytomegalovirus Infection (CMV),O90.8,Infectious Diseases & Virology,Moderate,Moderate,"23 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Infectious Diseases, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Cytomegalovirus Infection (CMV).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00171,Varicella Zoster (Chickenpox),P91.0,Infectious Diseases & Virology,Low,Mild,"26 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Infectious Diseases, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Varicella Zoster (Chickenpox).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00172,Herpes Zoster (Shingles),Q92.1,Infectious Diseases & Virology,Critical,Severe,"29 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Infectious Diseases, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Herpes Zoster (Shingles).","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
DIS_00173,Herpes Simplex Virus Type 1,R93.2,Infectious Diseases & Virology,Low,Mild,"32 per 100,000 individuals","Generalized Malaise; Chronic Fatigue; Low Grade Fever; Loss of Appetite","Serum biomarkers, specialty diagnostics for Infectious Diseases, radiographic validation","Regular clinical checkups, active lifestyle, avoiding environmental toxins and risk factors for Herpes Simplex Virus Type 1.","Balanced nutrient-dense meals, anti-inflammatory food groups, adequate hydration (2.5L water daily).","Low-impact structured activity (walking, swimming, light stretching) 150 minutes per week.","Acute shortness of breath, sudden unremitting pain, syncope, or altered mental status."
