disease_id,disease_name,symptom_id,symptom_name,association_weight,is_primary_symptom
DIS_00078,Celiac Disease (Gluten Enteropathy),SYM_00009,Loss of Appetite,0.59,0
DIS_00079,Irritable Bowel Syndrome (IBS-D),SYM_00010,Generalized Malaise,0.95,1
DIS_00079,Irritable Bowel Syndrome (IBS-D),SYM_00005,Chronic Fatigue,0.83,0
DIS_00079,Irritable Bowel Syndrome (IBS-D),SYM_00002,Low Grade Fever,0.71,0
DIS_00079,Irritable Bowel Syndrome (IBS-D),SYM_00009,Loss of Appetite,0.59,0
DIS_00080,Irritable Bowel Syndrome (IBS-C),SYM_00010,Generalized Malaise,0.95,1
DIS_00080,Irritable Bowel Syndrome (IBS-C),SYM_00005,Chronic Fatigue,0.83,0
DIS_00080,Irritable Bowel Syndrome (IBS-C),SYM_00002,Low Grade Fever,0.71,0
DIS_00080,Irritable Bowel Syndrome (IBS-C),SYM_00009,Loss of Appetite,0.59,0
DIS_00081,Acute Pancreatitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00081,Acute Pancreatitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00081,Acute Pancreatitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00081,Acute Pancreatitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00082,Chronic Calcific Pancreatitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00082,Chronic Calcific Pancreatitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00082,Chronic Calcific Pancreatitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00082,Chronic Calcific Pancreatitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00083,Non-Alcoholic Fatty Liver Disease (NAFLD),SYM_00010,Generalized Malaise,0.95,1
DIS_00083,Non-Alcoholic Fatty Liver Disease (NAFLD),SYM_00005,Chronic Fatigue,0.83,0
DIS_00083,Non-Alcoholic Fatty Liver Disease (NAFLD),SYM_00002,Low Grade Fever,0.71,0
DIS_00083,Non-Alcoholic Fatty Liver Disease (NAFLD),SYM_00009,Loss of Appetite,0.59,0
DIS_00084,Non-Alcoholic Steatohepatitis (NASH),SYM_00010,Generalized Malaise,0.95,1
DIS_00084,Non-Alcoholic Steatohepatitis (NASH),SYM_00005,Chronic Fatigue,0.83,0
DIS_00084,Non-Alcoholic Steatohepatitis (NASH),SYM_00002,Low Grade Fever,0.71,0
DIS_00084,Non-Alcoholic Steatohepatitis (NASH),SYM_00009,Loss of Appetite,0.59,0
DIS_00085,Alcoholic Cirrhosis of Liver,SYM_00010,Generalized Malaise,0.95,1
DIS_00085,Alcoholic Cirrhosis of Liver,SYM_00005,Chronic Fatigue,0.83,0
DIS_00085,Alcoholic Cirrhosis of Liver,SYM_00002,Low Grade Fever,0.71,0
DIS_00085,Alcoholic Cirrhosis of Liver,SYM_00009,Loss of Appetite,0.59,0
DIS_00086,Primary Biliary Cholangitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00086,Primary Biliary Cholangitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00086,Primary Biliary Cholangitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00086,Primary Biliary Cholangitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00087,Primary Sclerosing Cholangitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00087,Primary Sclerosing Cholangitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00087,Primary Sclerosing Cholangitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00087,Primary Sclerosing Cholangitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00088,Autoimmune Hepatitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00088,Autoimmune Hepatitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00088,Autoimmune Hepatitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00088,Autoimmune Hepatitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00089,Wilson Disease (Hepatolenticular),SYM_00010,Generalized Malaise,0.95,1
DIS_00089,Wilson Disease (Hepatolenticular),SYM_00005,Chronic Fatigue,0.83,0
DIS_00089,Wilson Disease (Hepatolenticular),SYM_00002,Low Grade Fever,0.71,0
DIS_00089,Wilson Disease (Hepatolenticular),SYM_00009,Loss of Appetite,0.59,0
DIS_00090,Hemochromatosis (Iron Overload),SYM_00010,Generalized Malaise,0.95,1
DIS_00090,Hemochromatosis (Iron Overload),SYM_00005,Chronic Fatigue,0.83,0
DIS_00090,Hemochromatosis (Iron Overload),SYM_00002,Low Grade Fever,0.71,0
DIS_00090,Hemochromatosis (Iron Overload),SYM_00009,Loss of Appetite,0.59,0
DIS_00091,Gastric Ulcer (H. Pylori),SYM_00010,Generalized Malaise,0.95,1
DIS_00091,Gastric Ulcer (H. Pylori),SYM_00005,Chronic Fatigue,0.83,0
DIS_00091,Gastric Ulcer (H. Pylori),SYM_00002,Low Grade Fever,0.71,0
DIS_00091,Gastric Ulcer (H. Pylori),SYM_00009,Loss of Appetite,0.59,0
DIS_00092,Duodenal Ulcer,SYM_00010,Generalized Malaise,0.95,1
DIS_00092,Duodenal Ulcer,SYM_00005,Chronic Fatigue,0.83,0
DIS_00092,Duodenal Ulcer,SYM_00002,Low Grade Fever,0.71,0
DIS_00092,Duodenal Ulcer,SYM_00009,Loss of Appetite,0.59,0
DIS_00093,Zollinger-Ellison Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00093,Zollinger-Ellison Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00093,Zollinger-Ellison Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00093,Zollinger-Ellison Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00094,Gastroparesis (Diabetic),SYM_00010,Generalized Malaise,0.95,1
DIS_00094,Gastroparesis (Diabetic),SYM_00005,Chronic Fatigue,0.83,0
DIS_00094,Gastroparesis (Diabetic),SYM_00002,Low Grade Fever,0.71,0
DIS_00094,Gastroparesis (Diabetic),SYM_00009,Loss of Appetite,0.59,0
DIS_00095,Short Bowel Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00095,Short Bowel Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00095,Short Bowel Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00095,Short Bowel Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00096,Diverticulitis (Acute),SYM_00010,Generalized Malaise,0.95,1
DIS_00096,Diverticulitis (Acute),SYM_00005,Chronic Fatigue,0.83,0
DIS_00096,Diverticulitis (Acute),SYM_00002,Low Grade Fever,0.71,0
DIS_00096,Diverticulitis (Acute),SYM_00009,Loss of Appetite,0.59,0
DIS_00097,Microscopic Colitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00097,Microscopic Colitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00097,Microscopic Colitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00097,Microscopic Colitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00098,Clostridioides Difficile Colitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00098,Clostridioides Difficile Colitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00098,Clostridioides Difficile Colitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00098,Clostridioides Difficile Colitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00099,Small Intestinal Bacterial Overgrowth (SIBO),SYM_00010,Generalized Malaise,0.95,1
DIS_00099,Small Intestinal Bacterial Overgrowth (SIBO),SYM_00005,Chronic Fatigue,0.83,0
DIS_00099,Small Intestinal Bacterial Overgrowth (SIBO),SYM_00002,Low Grade Fever,0.71,0
DIS_00099,Small Intestinal Bacterial Overgrowth (SIBO),SYM_00009,Loss of Appetite,0.59,0
DIS_00100,Eosinophilic Esophagitis,SYM_00010,Generalized Malaise,0.95,1
DIS_00100,Eosinophilic Esophagitis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00100,Eosinophilic Esophagitis,SYM_00002,Low Grade Fever,0.71,0
DIS_00100,Eosinophilic Esophagitis,SYM_00009,Loss of Appetite,0.59,0
DIS_00101,Barrett Esophagus,SYM_00010,Generalized Malaise,0.95,1
DIS_00101,Barrett Esophagus,SYM_00005,Chronic Fatigue,0.83,0
DIS_00101,Barrett Esophagus,SYM_00002,Low Grade Fever,0.71,0
DIS_00101,Barrett Esophagus,SYM_00009,Loss of Appetite,0.59,0
DIS_00102,Achalasia Cardia,SYM_00010,Generalized Malaise,0.95,1
DIS_00102,Achalasia Cardia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00102,Achalasia Cardia,SYM_00002,Low Grade Fever,0.71,0
DIS_00102,Achalasia Cardia,SYM_00009,Loss of Appetite,0.59,0
DIS_00103,Mallory-Weiss Tear,SYM_00010,Generalized Malaise,0.95,1
DIS_00103,Mallory-Weiss Tear,SYM_00005,Chronic Fatigue,0.83,0
DIS_00103,Mallory-Weiss Tear,SYM_00002,Low Grade Fever,0.71,0
DIS_00103,Mallory-Weiss Tear,SYM_00009,Loss of Appetite,0.59,0
DIS_00104,Cholelithiasis (Gallstones),SYM_00010,Generalized Malaise,0.95,1
DIS_00104,Cholelithiasis (Gallstones),SYM_00005,Chronic Fatigue,0.83,0
DIS_00104,Cholelithiasis (Gallstones),SYM_00002,Low Grade Fever,0.71,0
DIS_00104,Cholelithiasis (Gallstones),SYM_00009,Loss of Appetite,0.59,0
DIS_00105,Acute Choledocholithiasis,SYM_00010,Generalized Malaise,0.95,1
DIS_00105,Acute Choledocholithiasis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00105,Acute Choledocholithiasis,SYM_00002,Low Grade Fever,0.71,0
DIS_00105,Acute Choledocholithiasis,SYM_00009,Loss of Appetite,0.59,0
DIS_00106,Multiple Sclerosis (Relapsing-Remitting),SYM_00010,Generalized Malaise,0.95,1
DIS_00106,Multiple Sclerosis (Relapsing-Remitting),SYM_00005,Chronic Fatigue,0.83,0
DIS_00106,Multiple Sclerosis (Relapsing-Remitting),SYM_00002,Low Grade Fever,0.71,0
DIS_00106,Multiple Sclerosis (Relapsing-Remitting),SYM_00009,Loss of Appetite,0.59,0
DIS_00107,Parkinson Disease (Idiopathic),SYM_00010,Generalized Malaise,0.95,1
DIS_00107,Parkinson Disease (Idiopathic),SYM_00005,Chronic Fatigue,0.83,0
DIS_00107,Parkinson Disease (Idiopathic),SYM_00002,Low Grade Fever,0.71,0
DIS_00107,Parkinson Disease (Idiopathic),SYM_00009,Loss of Appetite,0.59,0
DIS_00108,Amyotrophic Lateral Sclerosis (ALS),SYM_00010,Generalized Malaise,0.95,1
DIS_00108,Amyotrophic Lateral Sclerosis (ALS),SYM_00005,Chronic Fatigue,0.83,0
DIS_00108,Amyotrophic Lateral Sclerosis (ALS),SYM_00002,Low Grade Fever,0.71,0
DIS_00108,Amyotrophic Lateral Sclerosis (ALS),SYM_00009,Loss of Appetite,0.59,0
DIS_00109,Guillain-Barré Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00109,Guillain-Barré Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00109,Guillain-Barré Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00109,Guillain-Barré Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00110,Myasthenia Gravis,SYM_00010,Generalized Malaise,0.95,1
DIS_00110,Myasthenia Gravis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00110,Myasthenia Gravis,SYM_00002,Low Grade Fever,0.71,0
DIS_00110,Myasthenia Gravis,SYM_00009,Loss of Appetite,0.59,0
DIS_00111,Alzheimer Dementia (Early Onset),SYM_00010,Generalized Malaise,0.95,1
DIS_00111,Alzheimer Dementia (Early Onset),SYM_00005,Chronic Fatigue,0.83,0
DIS_00111,Alzheimer Dementia (Early Onset),SYM_00002,Low Grade Fever,0.71,0
DIS_00111,Alzheimer Dementia (Early Onset),SYM_00009,Loss of Appetite,0.59,0
DIS_00112,Vascular Dementia,SYM_00010,Generalized Malaise,0.95,1
DIS_00112,Vascular Dementia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00112,Vascular Dementia,SYM_00002,Low Grade Fever,0.71,0
DIS_00112,Vascular Dementia,SYM_00009,Loss of Appetite,0.59,0
DIS_00113,Frontotemporal Lobar Degeneration,SYM_00010,Generalized Malaise,0.95,1
DIS_00113,Frontotemporal Lobar Degeneration,SYM_00005,Chronic Fatigue,0.83,0
DIS_00113,Frontotemporal Lobar Degeneration,SYM_00002,Low Grade Fever,0.71,0
DIS_00113,Frontotemporal Lobar Degeneration,SYM_00009,Loss of Appetite,0.59,0
DIS_00114,Lewy Body Dementia,SYM_00010,Generalized Malaise,0.95,1
DIS_00114,Lewy Body Dementia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00114,Lewy Body Dementia,SYM_00002,Low Grade Fever,0.71,0
DIS_00114,Lewy Body Dementia,SYM_00009,Loss of Appetite,0.59,0
DIS_00115,Huntington Chorea,SYM_00010,Generalized Malaise,0.95,1
DIS_00115,Huntington Chorea,SYM_00005,Chronic Fatigue,0.83,0
DIS_00115,Huntington Chorea,SYM_00002,Low Grade Fever,0.71,0
DIS_00115,Huntington Chorea,SYM_00009,Loss of Appetite,0.59,0
DIS_00116,Normal Pressure Hydrocephalus,SYM_00010,Generalized Malaise,0.95,1
DIS_00116,Normal Pressure Hydrocephalus,SYM_00005,Chronic Fatigue,0.83,0
DIS_00116,Normal Pressure Hydrocephalus,SYM_00002,Low Grade Fever,0.71,0
DIS_00116,Normal Pressure Hydrocephalus,SYM_00009,Loss of Appetite,0.59,0
DIS_00117,Trigeminal Neuralgia,SYM_00010,Generalized Malaise,0.95,1
DIS_00117,Trigeminal Neuralgia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00117,Trigeminal Neuralgia,SYM_00002,Low Grade Fever,0.71,0
DIS_00117,Trigeminal Neuralgia,SYM_00009,Loss of Appetite,0.59,0
DIS_00118,Bell Palsy (Idiopathic Facial Paresis),SYM_00010,Generalized Malaise,0.95,1
DIS_00118,Bell Palsy (Idiopathic Facial Paresis),SYM_00005,Chronic Fatigue,0.83,0
DIS_00118,Bell Palsy (Idiopathic Facial Paresis),SYM_00002,Low Grade Fever,0.71,0
DIS_00118,Bell Palsy (Idiopathic Facial Paresis),SYM_00009,Loss of Appetite,0.59,0
DIS_00119,Cluster Headache Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00119,Cluster Headache Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00119,Cluster Headache Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00119,Cluster Headache Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00120,Tension-Type Headache (Chronic),SYM_00010,Generalized Malaise,0.95,1
DIS_00120,Tension-Type Headache (Chronic),SYM_00005,Chronic Fatigue,0.83,0
DIS_00120,Tension-Type Headache (Chronic),SYM_00002,Low Grade Fever,0.71,0
DIS_00120,Tension-Type Headache (Chronic),SYM_00009,Loss of Appetite,0.59,0
DIS_00121,Temporal Arteritis (Giant Cell),SYM_00010,Generalized Malaise,0.95,1
DIS_00121,Temporal Arteritis (Giant Cell),SYM_00005,Chronic Fatigue,0.83,0
DIS_00121,Temporal Arteritis (Giant Cell),SYM_00002,Low Grade Fever,0.71,0
DIS_00121,Temporal Arteritis (Giant Cell),SYM_00009,Loss of Appetite,0.59,0
DIS_00122,Subarachnoid Hemorrhage,SYM_00010,Generalized Malaise,0.95,1
DIS_00122,Subarachnoid Hemorrhage,SYM_00005,Chronic Fatigue,0.83,0
DIS_00122,Subarachnoid Hemorrhage,SYM_00002,Low Grade Fever,0.71,0
DIS_00122,Subarachnoid Hemorrhage,SYM_00009,Loss of Appetite,0.59,0
DIS_00123,Intracerebral Hemorrhage,SYM_00010,Generalized Malaise,0.95,1
DIS_00123,Intracerebral Hemorrhage,SYM_00005,Chronic Fatigue,0.83,0
DIS_00123,Intracerebral Hemorrhage,SYM_00002,Low Grade Fever,0.71,0
DIS_00123,Intracerebral Hemorrhage,SYM_00009,Loss of Appetite,0.59,0
DIS_00124,Transient Ischemic Attack (TIA),SYM_00010,Generalized Malaise,0.95,1
DIS_00124,Transient Ischemic Attack (TIA),SYM_00005,Chronic Fatigue,0.83,0
DIS_00124,Transient Ischemic Attack (TIA),SYM_00002,Low Grade Fever,0.71,0
DIS_00124,Transient Ischemic Attack (TIA),SYM_00009,Loss of Appetite,0.59,0
DIS_00125,Benign Paroxysmal Positional Vertigo (BPPV),SYM_00010,Generalized Malaise,0.95,1
DIS_00125,Benign Paroxysmal Positional Vertigo (BPPV),SYM_00005,Chronic Fatigue,0.83,0
DIS_00125,Benign Paroxysmal Positional Vertigo (BPPV),SYM_00002,Low Grade Fever,0.71,0
DIS_00125,Benign Paroxysmal Positional Vertigo (BPPV),SYM_00009,Loss of Appetite,0.59,0
DIS_00126,Meniere Disease,SYM_00010,Generalized Malaise,0.95,1
DIS_00126,Meniere Disease,SYM_00005,Chronic Fatigue,0.83,0
DIS_00126,Meniere Disease,SYM_00002,Low Grade Fever,0.71,0
DIS_00126,Meniere Disease,SYM_00009,Loss of Appetite,0.59,0
DIS_00127,Vestibular Neuritis,SYM_00010,Generalized Malaise,0.95,1
DIS_00127,Vestibular Neuritis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00127,Vestibular Neuritis,SYM_00002,Low Grade Fever,0.71,0
DIS_00127,Vestibular Neuritis,SYM_00009,Loss of Appetite,0.59,0
DIS_00128,Cervical Radiculopathy,SYM_00010,Generalized Malaise,0.95,1
DIS_00128,Cervical Radiculopathy,SYM_00005,Chronic Fatigue,0.83,0
DIS_00128,Cervical Radiculopathy,SYM_00002,Low Grade Fever,0.71,0
DIS_00128,Cervical Radiculopathy,SYM_00009,Loss of Appetite,0.59,0
DIS_00129,Carpal Tunnel Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00129,Carpal Tunnel Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00129,Carpal Tunnel Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00129,Carpal Tunnel Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00130,Diabetic Autonomic Neuropathy,SYM_00010,Generalized Malaise,0.95,1
DIS_00130,Diabetic Autonomic Neuropathy,SYM_00005,Chronic Fatigue,0.83,0
DIS_00130,Diabetic Autonomic Neuropathy,SYM_00002,Low Grade Fever,0.71,0
DIS_00130,Diabetic Autonomic Neuropathy,SYM_00009,Loss of Appetite,0.59,0
DIS_00131,Complex Regional Pain Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00131,Complex Regional Pain Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00131,Complex Regional Pain Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00131,Complex Regional Pain Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00132,Epilepsy (Temporal Lobe),SYM_00010,Generalized Malaise,0.95,1
DIS_00132,Epilepsy (Temporal Lobe),SYM_00005,Chronic Fatigue,0.83,0
DIS_00132,Epilepsy (Temporal Lobe),SYM_00002,Low Grade Fever,0.71,0
DIS_00132,Epilepsy (Temporal Lobe),SYM_00009,Loss of Appetite,0.59,0
DIS_00133,Epilepsy (Juvenile Myoclonic),SYM_00010,Generalized Malaise,0.95,1
DIS_00133,Epilepsy (Juvenile Myoclonic),SYM_00005,Chronic Fatigue,0.83,0
DIS_00133,Epilepsy (Juvenile Myoclonic),SYM_00002,Low Grade Fever,0.71,0
DIS_00133,Epilepsy (Juvenile Myoclonic),SYM_00009,Loss of Appetite,0.59,0
DIS_00134,Spinocerebellar Ataxia,SYM_00010,Generalized Malaise,0.95,1
DIS_00134,Spinocerebellar Ataxia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00134,Spinocerebellar Ataxia,SYM_00002,Low Grade Fever,0.71,0
DIS_00134,Spinocerebellar Ataxia,SYM_00009,Loss of Appetite,0.59,0
DIS_00135,Restless Legs Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00135,Restless Legs Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00135,Restless Legs Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00135,Restless Legs Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00136,Hashimoto Autoimmune Thyroiditis,SYM_00010,Generalized Malaise,0.95,1
DIS_00136,Hashimoto Autoimmune Thyroiditis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00136,Hashimoto Autoimmune Thyroiditis,SYM_00002,Low Grade Fever,0.71,0
DIS_00136,Hashimoto Autoimmune Thyroiditis,SYM_00009,Loss of Appetite,0.59,0
DIS_00137,Graves Disease (Hyperthyroidism),SYM_00010,Generalized Malaise,0.95,1
DIS_00137,Graves Disease (Hyperthyroidism),SYM_00005,Chronic Fatigue,0.83,0
DIS_00137,Graves Disease (Hyperthyroidism),SYM_00002,Low Grade Fever,0.71,0
DIS_00137,Graves Disease (Hyperthyroidism),SYM_00009,Loss of Appetite,0.59,0
DIS_00138,Subacute De Quervain Thyroiditis,SYM_00010,Generalized Malaise,0.95,1
DIS_00138,Subacute De Quervain Thyroiditis,SYM_00005,Chronic Fatigue,0.83,0
DIS_00138,Subacute De Quervain Thyroiditis,SYM_00002,Low Grade Fever,0.71,0
DIS_00138,Subacute De Quervain Thyroiditis,SYM_00009,Loss of Appetite,0.59,0
DIS_00139,Thyroid Nodule (Toxic Adenoma),SYM_00010,Generalized Malaise,0.95,1
DIS_00139,Thyroid Nodule (Toxic Adenoma),SYM_00005,Chronic Fatigue,0.83,0
DIS_00139,Thyroid Nodule (Toxic Adenoma),SYM_00002,Low Grade Fever,0.71,0
DIS_00139,Thyroid Nodule (Toxic Adenoma),SYM_00009,Loss of Appetite,0.59,0
DIS_00140,Primary Adrenal Insufficiency (Addison),SYM_00010,Generalized Malaise,0.95,1
DIS_00140,Primary Adrenal Insufficiency (Addison),SYM_00005,Chronic Fatigue,0.83,0
DIS_00140,Primary Adrenal Insufficiency (Addison),SYM_00002,Low Grade Fever,0.71,0
DIS_00140,Primary Adrenal Insufficiency (Addison),SYM_00009,Loss of Appetite,0.59,0
DIS_00141,Cushing Syndrome (Hypercortisolemia),SYM_00010,Generalized Malaise,0.95,1
DIS_00141,Cushing Syndrome (Hypercortisolemia),SYM_00005,Chronic Fatigue,0.83,0
DIS_00141,Cushing Syndrome (Hypercortisolemia),SYM_00002,Low Grade Fever,0.71,0
DIS_00141,Cushing Syndrome (Hypercortisolemia),SYM_00009,Loss of Appetite,0.59,0
DIS_00142,Primary Hyperaldosteronism (Conn),SYM_00010,Generalized Malaise,0.95,1
DIS_00142,Primary Hyperaldosteronism (Conn),SYM_00005,Chronic Fatigue,0.83,0
DIS_00142,Primary Hyperaldosteronism (Conn),SYM_00002,Low Grade Fever,0.71,0
DIS_00142,Primary Hyperaldosteronism (Conn),SYM_00009,Loss of Appetite,0.59,0
DIS_00143,Pheochromocytoma (Adrenal),SYM_00010,Generalized Malaise,0.95,1
DIS_00143,Pheochromocytoma (Adrenal),SYM_00005,Chronic Fatigue,0.83,0
DIS_00143,Pheochromocytoma (Adrenal),SYM_00002,Low Grade Fever,0.71,0
DIS_00143,Pheochromocytoma (Adrenal),SYM_00009,Loss of Appetite,0.59,0
DIS_00144,Primary Hyperparathyroidism,SYM_00010,Generalized Malaise,0.95,1
DIS_00144,Primary Hyperparathyroidism,SYM_00005,Chronic Fatigue,0.83,0
DIS_00144,Primary Hyperparathyroidism,SYM_00002,Low Grade Fever,0.71,0
DIS_00144,Primary Hyperparathyroidism,SYM_00009,Loss of Appetite,0.59,0
DIS_00145,Hypoparathyroidism,SYM_00010,Generalized Malaise,0.95,1
DIS_00145,Hypoparathyroidism,SYM_00005,Chronic Fatigue,0.83,0
DIS_00145,Hypoparathyroidism,SYM_00002,Low Grade Fever,0.71,0
DIS_00145,Hypoparathyroidism,SYM_00009,Loss of Appetite,0.59,0
DIS_00146,Pituitary Prolactinoma,SYM_00010,Generalized Malaise,0.95,1
DIS_00146,Pituitary Prolactinoma,SYM_00005,Chronic Fatigue,0.83,0
DIS_00146,Pituitary Prolactinoma,SYM_00002,Low Grade Fever,0.71,0
DIS_00146,Pituitary Prolactinoma,SYM_00009,Loss of Appetite,0.59,0
DIS_00147,Acromegaly (Growth Hormone Excess),SYM_00010,Generalized Malaise,0.95,1
DIS_00147,Acromegaly (Growth Hormone Excess),SYM_00005,Chronic Fatigue,0.83,0
DIS_00147,Acromegaly (Growth Hormone Excess),SYM_00002,Low Grade Fever,0.71,0
DIS_00147,Acromegaly (Growth Hormone Excess),SYM_00009,Loss of Appetite,0.59,0
DIS_00148,Diabetes Insipidus (Central),SYM_00010,Generalized Malaise,0.95,1
DIS_00148,Diabetes Insipidus (Central),SYM_00005,Chronic Fatigue,0.83,0
DIS_00148,Diabetes Insipidus (Central),SYM_00002,Low Grade Fever,0.71,0
DIS_00148,Diabetes Insipidus (Central),SYM_00009,Loss of Appetite,0.59,0
DIS_00149,Diabetes Insipidus (Nephrogenic),SYM_00010,Generalized Malaise,0.95,1
DIS_00149,Diabetes Insipidus (Nephrogenic),SYM_00005,Chronic Fatigue,0.83,0
DIS_00149,Diabetes Insipidus (Nephrogenic),SYM_00002,Low Grade Fever,0.71,0
DIS_00149,Diabetes Insipidus (Nephrogenic),SYM_00009,Loss of Appetite,0.59,0
DIS_00150,Polycystic Ovary Syndrome (PCOS),SYM_00010,Generalized Malaise,0.95,1
DIS_00150,Polycystic Ovary Syndrome (PCOS),SYM_00005,Chronic Fatigue,0.83,0
DIS_00150,Polycystic Ovary Syndrome (PCOS),SYM_00002,Low Grade Fever,0.71,0
DIS_00150,Polycystic Ovary Syndrome (PCOS),SYM_00009,Loss of Appetite,0.59,0
DIS_00151,Hypogonadism (Male),SYM_00010,Generalized Malaise,0.95,1
DIS_00151,Hypogonadism (Male),SYM_00005,Chronic Fatigue,0.83,0
DIS_00151,Hypogonadism (Male),SYM_00002,Low Grade Fever,0.71,0
DIS_00151,Hypogonadism (Male),SYM_00009,Loss of Appetite,0.59,0
DIS_00152,Metabolic Syndrome,SYM_00010,Generalized Malaise,0.95,1
DIS_00152,Metabolic Syndrome,SYM_00005,Chronic Fatigue,0.83,0
DIS_00152,Metabolic Syndrome,SYM_00002,Low Grade Fever,0.71,0
DIS_00152,Metabolic Syndrome,SYM_00009,Loss of Appetite,0.59,0
DIS_00153,Severe Hypertriglyceridemia,SYM_00010,Generalized Malaise,0.95,1
DIS_00153,Severe Hypertriglyceridemia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00153,Severe Hypertriglyceridemia,SYM_00002,Low Grade Fever,0.71,0
DIS_00153,Severe Hypertriglyceridemia,SYM_00009,Loss of Appetite,0.59,0
DIS_00154,Familial Hypercholesterolemia,SYM_00010,Generalized Malaise,0.95,1
DIS_00154,Familial Hypercholesterolemia,SYM_00005,Chronic Fatigue,0.83,0
DIS_00154,Familial Hypercholesterolemia,SYM_00002,Low Grade Fever,0.71,0
DIS_00154,Familial Hypercholesterolemia,SYM_00009,Loss of Appetite,0.59,0
DIS_00155,Gouty Arthritis (Hyperuricemia),SYM_00010,Generalized Malaise,0.95,1
DIS_00155,Gouty Arthritis (Hyperuricemia),SYM_00005,Chronic Fatigue,0.83,0
DIS_00155,Gouty Arthritis (Hyperuricemia),SYM_00002,Low Grade Fever,0.71,0
DIS_00155,Gouty Arthritis (Hyperuricemia),SYM_00009,Loss of Appetite,0.59,0
DIS_00156,Pseudogout (CPPD),SYM_00010,Generalized Malaise,0.95,1
DIS_00156,Pseudogout (CPPD),SYM_00005,Chronic Fatigue,0.83,0
DIS_00156,Pseudogout (CPPD),SYM_00002,Low Grade Fever,0.71,0
